sample,stage,outer_held_out_record,inner_held_out_record,candidate,source,candidate_order,threshold,native_threshold,balanced_accuracy
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.35,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.65,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.5,0.5,0.4976873265494912
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.45,0.5,0.5245143385753932
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.55,0.5,0.4669287696577243
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.4,0.5,0.5113320999074931
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.6,0.5,0.4891304347826087
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.35,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.65,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.5,0.5,0.4272486772486772
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.45,0.5,0.4484126984126984
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.55,0.5,0.4722222222222222
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.4,0.5,0.46031746031746035
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.6,0.5,0.4973544973544973
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.35,0.5,0.46296296296296297
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.65,0.5,0.4894179894179894
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.5,0.5,0.4661371237458194
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.45,0.5,0.5330267558528428
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.55,0.5,0.5150501672240803
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.4,0.5,0.49414715719063546
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.6,0.5,0.5263377926421405
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.35,0.5,0.5025083612040134
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.65,0.5,0.5083612040133779
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.5,0.5,0.4750231267345051
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.45,0.5,0.5157261794634598
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.55,0.5,0.4444958371877891
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.4,0.5,0.4921369102682701
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.6,0.5,0.456059204440333
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.35,0.5,0.5233580018501388
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,4,0.65,0.5,0.4671600370027752
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.5,0.5,0.43915343915343913
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.45,0.5,0.45105820105820105
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.55,0.5,0.46296296296296297
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.4,0.5,0.47883597883597884
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.6,0.5,0.48809523809523814
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.35,0.5,0.4272486772486772
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.65,0.5,0.5132275132275133
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.5,0.5,0.48536789297658867
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.45,0.5,0.5054347826086957
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.55,0.5,0.48954849498327757
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.4,0.5,0.49540133779264217
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.6,0.5,0.5117056856187291
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.35,0.5,0.5025083612040134
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.65,0.5,0.4974916387959866
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.5,0.5,0.528677150786309
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.45,0.5,0.4727104532839963
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.55,0.5,0.4976873265494912
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_drop_redundant_alpha_asym_12_l2_0.1,round1_classifier,5,0.4,0.5,0.5025439407955596
