condition,correct,heldout_record,mode_count,predicted_label,score_right_minus_left,trial_index,true_label
left,True,VisualCogA_Task-2,3,left,-0.09273812205559218,0,left
left,False,VisualCogA_Task-2,3,right,0.2012394474783062,1,left
left,True,VisualCogA_Task-2,3,left,-0.04591046576079698,2,left
left,False,VisualCogA_Task-2,3,right,0.1569451106089937,3,left
left,False,VisualCogA_Task-2,3,right,0.058614975157963135,4,left
left,False,VisualCogA_Task-2,3,right,0.43559829011453755,5,left
left,False,VisualCogA_Task-2,3,right,0.11041480888772669,6,left
left,False,VisualCogA_Task-2,3,right,0.08018471428076904,7,left
left,False,VisualCogA_Task-2,3,right,0.035405951319631944,8,left
left,False,VisualCogA_Task-2,3,right,0.5157253872983601,9,left
left,False,VisualCogA_Task-2,3,right,0.0946181348532906,10,left
left,False,VisualCogA_Task-2,3,right,0.2527557521513658,11,left
left,False,VisualCogA_Task-2,3,right,0.12335419471409799,12,left
left,False,VisualCogA_Task-2,3,right,0.11612619427167033,13,left
left,False,VisualCogA_Task-2,3,right,0.11925678304938699,14,left
left,False,VisualCogA_Task-2,3,right,0.19452137446393547,15,left
left,False,VisualCogA_Task-2,3,right,0.16581763918170228,16,left
left,False,VisualCogA_Task-2,3,right,0.18937503851858892,17,left
left,False,VisualCogA_Task-2,3,right,0.010435811027404804,18,left
left,False,VisualCogA_Task-2,3,right,0.04656779877745021,19,left
left,False,VisualCogA_Task-2,3,right,0.2556905333415991,20,left
left,True,VisualCogA_Task-2,3,left,-0.04334309960611928,21,left
left,False,VisualCogA_Task-2,3,right,0.4313993281318987,22,left
left,False,VisualCogA_Task-2,3,right,0.3635685665914193,23,left
left,False,VisualCogA_Task-2,3,right,0.06739129224930684,24,left
left,False,VisualCogA_Task-2,3,right,0.03392441205550758,25,left
left,True,VisualCogA_Task-2,3,left,-0.14544038386788108,26,left
left,False,VisualCogA_Task-2,3,right,0.22753232438788987,27,left
left,False,VisualCogA_Task-2,3,right,0.3100993877862501,28,left
left,True,VisualCogA_Task-2,3,left,-0.12418626521588182,29,left
left,True,VisualCogA_Task-2,3,left,-0.09298891719449635,30,left
left,True,VisualCogA_Task-2,3,left,-0.0021810603500763796,31,left
left,False,VisualCogA_Task-2,3,right,0.13152689743135415,32,left
left,True,VisualCogA_Task-2,3,left,-0.6909185154545706,33,left
left,False,VisualCogA_Task-2,3,right,0.19972434436507908,34,left
left,False,VisualCogA_Task-2,3,right,0.46420046769582624,35,left
left,False,VisualCogA_Task-2,3,right,0.024226454946770334,36,left
left,False,VisualCogA_Task-2,3,right,0.4036583183397661,37,left
left,True,VisualCogA_Task-2,3,left,-0.021977904180797304,38,left
left,False,VisualCogA_Task-2,3,right,0.2979787568755579,39,left
left,False,VisualCogA_Task-2,3,right,0.05854034173109089,40,left
left,False,VisualCogA_Task-2,3,right,0.2502891063740531,41,left
left,False,VisualCogA_Task-2,3,right,0.093137982011171,42,left
left,True,VisualCogA_Task-2,3,left,-0.17567039093170442,43,left
left,True,VisualCogA_Task-2,3,left,-0.05462051142919499,44,left
right,False,VisualCogA_Task-2,3,left,-0.033692751879831444,0,right
right,True,VisualCogA_Task-2,3,right,0.1961017220084884,1,right
right,True,VisualCogA_Task-2,3,right,0.13095455773425949,2,right
right,True,VisualCogA_Task-2,3,right,0.054604578825460735,3,right
right,True,VisualCogA_Task-2,3,right,0.18094505396234797,4,right
right,True,VisualCogA_Task-2,3,right,0.48384579598561384,5,right
right,False,VisualCogA_Task-2,3,left,-0.17567579534365713,6,right
right,True,VisualCogA_Task-2,3,right,0.19974405896521608,7,right
right,True,VisualCogA_Task-2,3,right,0.0010037591961709173,8,right
right,False,VisualCogA_Task-2,3,left,-0.2285828351944219,9,right
right,False,VisualCogA_Task-2,3,left,-0.005050920147766057,10,right
right,True,VisualCogA_Task-2,3,right,0.17656021512223968,11,right
