RowType,Task,Dataset,Fold,FeatureSet,Model,TrainN,TestN,TrainLeftN,TrainRightN,TestLeftN,TestRightN,Accuracy,BalancedAccuracy,AUC,F1,TN,FP,FN,TP,Accuracy_SD,BalancedAccuracy_SD,AUC_SD,F1_SD
mean,Task2,VisualCogB_Task-1,,ERP,LinearSVM,,,,,,,0.5198529411764705,0.5180555555555555,0.5090277777777777,0.6025062656641603,13,28,12,30,0.10935877907398946,0.11832078050268867,0.13435189472617176,0.08062232427256569
fold,Task2,VisualCogB_Task-1,1,ERP+空间,ShrinkageLDA,66,17,32.0,34.0,9,8,0.47058823529411764,0.47916666666666663,0.4722222222222222,0.5263157894736842,3,6,3,5,,,,
fold,Task2,VisualCogB_Task-1,2,ERP+空间,ShrinkageLDA,66,17,33.0,33.0,8,9,0.35294117647058826,0.3472222222222222,0.3055555555555555,0.42105263157894735,2,6,5,4,,,,
fold,Task2,VisualCogB_Task-1,3,ERP+空间,ShrinkageLDA,66,17,33.0,33.0,8,9,0.5294117647058824,0.5208333333333333,0.5972222222222222,0.6,3,5,3,6,,,,
fold,Task2,VisualCogB_Task-1,4,ERP+空间,ShrinkageLDA,67,16,33.0,34.0,8,8,0.625,0.625,0.578125,0.6666666666666666,4,4,2,6,,,,
fold,Task2,VisualCogB_Task-1,5,ERP+空间,ShrinkageLDA,67,16,33.0,34.0,8,8,0.4375,0.4375,0.4375,0.47058823529411764,3,5,4,4,,,,
mean,Task2,VisualCogB_Task-1,,ERP+空间,ShrinkageLDA,,,,,,,0.48308823529411765,0.48194444444444445,0.478125,0.5369246646026832,15,26,17,25,0.10180571258130286,0.10260401978744892,0.11795083181924515,0.09842622002929582
fold,Task2,VisualCogB_Task-1,1,ERP+空间,LinearSVM,66,17,32.0,34.0,9,8,0.5882352941176471,0.6041666666666666,0.48611111111111116,0.6666666666666666,3,6,1,7,,,,
fold,Task2,VisualCogB_Task-1,2,ERP+空间,LinearSVM,66,17,33.0,33.0,8,9,0.29411764705882354,0.2847222222222222,0.29166666666666663,0.4,1,7,5,4,,,,
fold,Task2,VisualCogB_Task-1,3,ERP+空间,LinearSVM,66,17,33.0,33.0,8,9,0.5294117647058824,0.5138888888888888,0.625,0.6363636363636364,2,6,2,7,,,,
fold,Task2,VisualCogB_Task-1,4,ERP+空间,LinearSVM,67,16,33.0,34.0,8,8,0.625,0.625,0.625,0.6666666666666666,4,4,2,6,,,,
fold,Task2,VisualCogB_Task-1,5,ERP+空间,LinearSVM,67,16,33.0,34.0,8,8,0.5625,0.5625,0.484375,0.631578947368421,3,5,2,6,,,,
mean,Task2,VisualCogB_Task-1,,ERP+空间,LinearSVM,,,,,,,0.5198529411764705,0.5180555555555555,0.5024305555555555,0.600255183413078,13,28,12,30,0.13095668741701874,0.13719452599489151,0.13698565767608892,0.11314604197949392
fold,Task2,VisualCogB_Task-1,1,ERP+空间+频谱,ShrinkageLDA,66,17,32.0,34.0,9,8,0.5882352941176471,0.5972222222222222,0.5833333333333333,0.631578947368421,4,5,2,6,,,,
fold,Task2,VisualCogB_Task-1,2,ERP+空间+频谱,ShrinkageLDA,66,17,33.0,33.0,8,9,0.35294117647058826,0.35416666666666663,0.3194444444444444,0.35294117647058826,3,5,6,3,,,,
fold,Task2,VisualCogB_Task-1,3,ERP+空间+频谱,ShrinkageLDA,66,17,33.0,33.0,8,9,0.4117647058823529,0.4097222222222222,0.375,0.4444444444444444,3,5,5,4,,,,
