sample,stage,candidate,model,feature_set,scaler,parameter,gamma,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
q1_quality_matched,target_locked,shrinkage_lda_drop_redundant_alpha_asym_12,lda,drop_redundant_alpha_asym_12,standard,,,0.525605198572066,0.5237318620154988,0.0660589983260153,0.5317531123046799,0.5127728075045742,4
q1_quality_matched,target_locked,shrinkage_lda_erp_only_3,lda,erp_only_3,standard,,,0.46445225345827756,0.47113937339287937,0.07133335206398098,0.5213244661805109,0.4537143143109929,4
q1_quality_matched,target_locked,shrinkage_lda_full_baseline_13,lda,full_baseline_13,standard,,,0.5302348282016957,0.5271759660378199,0.06153661522906468,0.5287126812021682,0.5149126226397486,4
raw_qc_pass,cue_locked,baseline_logistic_l2_1,logistic,full_baseline_13,standard,1.0,,0.4672803516567917,0.4601094303048512,0.03289180246265426,0.48341780819424973,0.44900202825364266,4
raw_qc_pass,cue_locked,linear_svm_drop_redundant_alpha_asym_12_C_0.01,linear_svm,drop_redundant_alpha_asym_12,standard,0.01,,0.4780309139784946,0.4709523931887484,0.04326483546555606,0.47842400544374025,0.4607764444788754,4
raw_qc_pass,cue_locked,linear_svm_drop_redundant_alpha_asym_12_C_0.1,linear_svm,drop_redundant_alpha_asym_12,standard,0.1,,0.4719550279789335,0.46448333162024186,0.04845967435357325,0.4858169402090925,0.45334444623399517,4
raw_qc_pass,cue_locked,linear_svm_drop_redundant_alpha_asym_12_C_1,linear_svm,drop_redundant_alpha_asym_12,standard,1.0,,0.47498655913978494,0.46723193742735836,0.03386306894883536,0.48705471545049095,0.45570831576426163,4
raw_qc_pass,cue_locked,linear_svm_drop_redundant_alpha_asym_12_C_10,linear_svm,drop_redundant_alpha_asym_12,standard,10.0,,0.47498655913978494,0.46723193742735836,0.03386306894883536,0.4877704448992608,0.45570831576426163,4
raw_qc_pass,cue_locked,linear_svm_full_baseline_13_C_0.01,linear_svm,full_baseline_13,standard,0.01,,0.4805309139784946,0.47326720800356326,0.04413993283084109,0.47902509738579735,0.46316522894002826,4
raw_qc_pass,cue_locked,linear_svm_full_baseline_13_C_0.1,linear_svm,full_baseline_13,standard,0.1,,0.4719550279789335,0.46448333162024186,0.04845967435357325,0.4859121799358463,0.45334444623399517,4
