sample,stage,held_out_record,target_feature,model,n_train,n_test,heldout_rmse_standardized,training_aic,training_bic,predictors
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F4,Model-F_VHP_gamma_plus_Tcandidate,291,96,0.7313410284337254,702.1916074716763,727.9048703418767,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F3,Model-0_V,291,96,1.0658071736629482,822.1152924958669,833.1352622973814,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F3,Model-0_VplusGamma,291,96,1.077981742255931,821.0397539850034,835.7330470536893,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F3,Model-A1_no_H,291,96,1.0679817900676665,823.6650310388025,838.3583241074884,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F3,Model-A2_no_P,291,96,0.7710148606641397,714.9364696588618,729.6297627275478,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F3,Model-A3_no_T,291,96,0.7671039562676498,716.7100338754183,735.0766502112757,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F3,Model-F_VHP_plus_Tcandidate,291,96,0.7606372263967378,718.6145484317417,740.6544880347707,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_F3,Model-F_VHP_gamma_plus_Tcandidate,291,96,0.7505037770777295,704.9687666626251,730.6820295328255,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_Fz,Model-0_V,291,96,1.1084110011935158,829.8552948545165,840.8752646560309,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_Fz,Model-0_VplusGamma,291,96,1.1060976069421407,827.9331233347405,842.6264164034264,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_Fz,Model-A1_no_H,291,96,1.1069768265459738,831.8231714893077,846.5164645579937,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_Fz,Model-A2_no_P,291,96,0.6337829777729469,636.2864174223606,650.9797104910466,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_theta_power_Fz,Model-A3_no_T,291,96,0.653111406976696,634.1135763230898,652.4801926589472,V;H;P
