trial,channel,clipping_ratio,longest_clip_s,peak_to_peak,jump,drift,peak_to_peak_z,jump_z,drift_z,clip_abnormal,amplitude_abnormal,jump_abnormal,drift_abnormal,is_abnormal
12,Fz,0.0,0.0,67.84161135271233,15.719844357976646,1.2512397955290453,-1.255190229885059,-1.4819361702128702,-0.8457566026410526,False,False,False,False,False
12,F4,0.0,0.0,171.02311741817346,19.778744182497835,132.37201495384159,-0.5608876198779427,-1.454566905615618,0.15473404082296593,False,False,False,False,False
13,F3,0.0,0.0,67.3228046082246,22.459754329747334,30.09079118028535,-1.0255364835164844,-0.7338719847651647,-0.6102872277520456,False,False,False,False,False
13,Fz,0.0,0.0,62.28732738231474,17.376974135957756,10.849164568551146,-1.3492584291187772,-0.661659574468162,-0.3364402761104404,False,False,False,False,False
13,F4,0.0,0.0,91.92034790569915,21.965362020294563,40.78736552986953,-0.8657357454228426,-0.2997777777778357,-0.5036946816296657,False,False,False,False,False
14,F3,0.0,0.0,1176.9283588921949,25.597009231708064,323.7354085603112,4.364385604395604,0.4398664832838921,1.9481197891002282,False,True,False,False,True
14,Fz,0.0,0.0,124.05584802014187,17.120622568093268,57.52651255054553,-0.3031373563218401,-0.7885531914894465,2.1405051020408083,False,False,False,False,False
14,F4,0.43478260869565216,1.5234375,1299.732967116808,22.647440299076855,513.3745326924545,3.7889611159546646,0.06043906810034232,2.8938721232821023,True,True,False,False,True
15,F3,0.0,0.0,835.4619668879226,25.30556191348142,525.6427862973984,2.7057085714285725,0.33082754972495426,3.7072572681580813,False,False,False,True,True
15,Fz,0.0,0.0,150.57602807660032,16.241702906843607,15.83886472877117,0.14601245210728092,-1.2236170212767006,-0.07166056422567228,False,False,False,False,False
15,F4,0.20624303232998886,0.71484375,1197.9858091096362,21.695277332723013,950.1640344853895,3.3968455100261554,-0.44241397849471875,6.034079084329512,True,False,False,True,True
16,F3,0.0,0.0,408.8502327000838,23.69115739681088,289.921416037232,0.633437032967032,-0.27316821836646993,1.6535121218094035,False,False,False,False,False
16,Fz,0.0,0.0,143.46532387273987,18.39169909208822,1.4648661020828513,0.025584482758623062,-0.15937234042547974,-0.8344204681872682,False,False,False,False,False
