Task,Dataset,window_start_ms,window_end_ms,window_center_ms,window_samples,offset_relative_center_ms,AUC_signed_mean_folds,AUC_discriminability,AUC_fold_SD_descriptive,Global_permutation_p,FWER_significant_0.05,Global_null_95_threshold,N_trials,N_left,N_right,N_permutations
Task1,VisualCogA_Task-2,600.0000000000001,700.0000000000001,650.0000000000001,13,450.0000000000001,0.47585497835497836,0.5241450216450216,0.20396814215092457,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,700.0000000000001,800.0,750.0,13,550.0,0.400945165945166,0.5990548340548341,0.092603965525316,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,800.0,900.0,850.0000000000001,13,650.0000000000001,0.44744227994227986,0.5525577200577201,0.061755994889947964,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,900.0,1000.0,950.0,12,750.0,0.4307539682539683,0.5692460317460317,0.16997067555686404,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1000.0,1100.0,1050.0,13,850.0000000000001,0.3150748556998557,0.6849251443001443,0.1470876575829432,0.98,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1100.0,1200.0000000000002,1150.0000000000002,13,950.0000000000002,0.3115376984126984,0.6884623015873016,0.16771555725440682,0.97,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1200.0000000000002,1300.0000000000002,1250.0000000000002,13,1050.0000000000002,0.3641549422799423,0.6358450577200577,0.0991415443467495,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1300.0,1400.0000000000002,1350.0,13,1150.0000000000002,0.4696139971139971,0.5303860028860029,0.09457562107440687,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1400.0000000000002,1500.0000000000002,1450.0000000000002,12,1250.0000000000002,0.45785894660894655,0.5421410533910535,0.119157708304826,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1500.0,1600.0,1550.0,13,1350.0,0.48257395382395385,0.5174260461760462,0.1891791952785708,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1600.0,1700.0000000000002,1650.0000000000002,13,1450.0000000000002,0.5295508658008659,0.5295508658008659,0.12225746091123756,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1700.0000000000002,1800.0000000000002,1750.0000000000002,13,1550.0000000000002,0.495421176046176,0.504578823953824,0.1360950950142589,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1800.0,1900.0000000000002,1850.0,13,1650.0000000000002,0.5289439033189034,0.5289439033189034,0.1583532211423723,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,1900.0000000000002,2000.0,1950.0000000000002,12,1750.0000000000002,0.39578823953823955,0.6042117604617605,0.11142222280110489,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,2000.0,2100.0,2050.0,13,1849.9999999999998,0.45427128427128427,0.5457287157287157,0.13159034294789226,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,2100.0,2200.0,2150.0000000000005,13,1950.0000000000005,0.5307819264069265,0.5307819264069265,0.08953961398456634,1.0,0,0.8153809523809523,80,45,35,199
Task2,VisualCogB_Task-1,0.0,100.0,50.0,13,-150.00000000000003,0.4249439449439449,0.5750560550560551,0.10419686233946003,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,100.0,200.0,150.00000000000003,13,-49.999999999999986,0.549005439005439,0.549005439005439,0.16510204142598117,1.0,0,0.8153809523809523,83,41,42,199
Task2,VisualCogB_Task-1,200.0,300.00000000000006,250.0,13,49.999999999999986,0.4019447219447219,0.5980552780552781,0.10580809195059444,1.0,0,0.8153809523809523,83,41,42,199
