condition,correct,heldout_record,predicted_label,score_right_minus_left,trial_index,true_label
left,True,VisualCogB_Task-2,left,-0.09225969495166392,23,left
left,False,VisualCogB_Task-2,right,0.27380104702124447,24,left
left,True,VisualCogB_Task-2,left,-0.2715529536983149,25,left
left,True,VisualCogB_Task-2,left,-0.12516701687751947,26,left
left,False,VisualCogB_Task-2,right,0.09028755259963894,27,left
left,True,VisualCogB_Task-2,left,-0.23915711933711714,28,left
left,True,VisualCogB_Task-2,left,-0.060379683322530395,29,left
left,False,VisualCogB_Task-2,right,0.10584266981797923,30,left
left,True,VisualCogB_Task-2,left,-0.7463167549561203,31,left
left,False,VisualCogB_Task-2,right,0.26152778540668514,32,left
left,True,VisualCogB_Task-2,left,-0.12137892165788217,33,left
left,True,VisualCogB_Task-2,left,-0.21915836957743368,34,left
left,True,VisualCogB_Task-2,left,-0.09963452641761031,35,left
left,True,VisualCogB_Task-2,left,-0.049976779568094536,36,left
right,False,VisualCogB_Task-2,left,-0.005973441794733192,0,right
right,True,VisualCogB_Task-2,right,0.3227376555272522,1,right
right,True,VisualCogB_Task-2,right,0.014641066127367042,2,right
right,True,VisualCogB_Task-2,right,0.006253810049852149,3,right
right,True,VisualCogB_Task-2,right,0.3900372375360781,4,right
right,True,VisualCogB_Task-2,right,0.03742051134389533,5,right
right,True,VisualCogB_Task-2,right,0.030413966488473942,6,right
right,False,VisualCogB_Task-2,left,-0.032948856659365894,7,right
right,False,VisualCogB_Task-2,left,-0.06296047328215099,8,right
right,False,VisualCogB_Task-2,left,-0.3284071177412958,9,right
right,False,VisualCogB_Task-2,left,-0.11876773905817399,10,right
right,True,VisualCogB_Task-2,right,0.4707603700702232,11,right
right,False,VisualCogB_Task-2,left,-0.2440621802155848,12,right
right,False,VisualCogB_Task-2,left,-0.07057946066357904,13,right
right,False,VisualCogB_Task-2,left,-0.1469183095265434,14,right
right,False,VisualCogB_Task-2,left,-0.43894103608165214,15,right
right,False,VisualCogB_Task-2,left,-0.022939871442184845,16,right
right,False,VisualCogB_Task-2,left,-0.13224088112377286,17,right
right,False,VisualCogB_Task-2,left,-0.07754968455875222,18,right
right,False,VisualCogB_Task-2,left,-0.37606322366593525,19,right
right,True,VisualCogB_Task-2,right,0.2731164259191746,20,right
right,False,VisualCogB_Task-2,left,-0.14942351124515846,21,right
right,False,VisualCogB_Task-2,left,-0.02121110845234736,22,right
right,False,VisualCogB_Task-2,left,-0.19622964029350265,23,right
right,False,VisualCogB_Task-2,left,-0.41213444647738023,24,right
right,False,VisualCogB_Task-2,left,-0.24729145918378573,25,right
right,False,VisualCogB_Task-2,left,-0.16669913380399284,26,right
right,True,VisualCogB_Task-2,right,0.2969488407165491,27,right
right,False,VisualCogB_Task-2,left,-0.45872592151596026,28,right
right,True,VisualCogB_Task-2,right,0.2395200029675355,29,right
right,False,VisualCogB_Task-2,left,-0.21598526292383632,30,right
right,False,VisualCogB_Task-2,left,-0.8216087290564807,31,right
right,True,VisualCogB_Task-2,right,0.09549848741569461,32,right
right,False,VisualCogB_Task-2,left,-0.1207574327624471,33,right
right,False,VisualCogB_Task-2,left,-0.05504116241215681,34,right
right,False,VisualCogB_Task-2,left,-0.02812934299837655,35,right
right,False,VisualCogB_Task-2,left,-0.059773473111438824,36,right
right,True,VisualCogB_Task-2,right,0.25252219005925436,37,right
right,False,VisualCogB_Task-2,left,-0.11578641252788083,38,right
right,False,VisualCogB_Task-2,left,-0.08561484244381112,39,right
right,False,VisualCogB_Task-2,left,-0.24201231506151494,40,right
right,False,VisualCogB_Task-2,left,-0.3868442463594668,41,right
right,False,VisualCogB_Task-2,left,-0.04992973424310841,42,right
