sample,stage,outer_held_out_record,candidate_order,name,representation,l2,edge_components,shrinkage,inner_mean_balanced_accuracy,inner_held_out_record,n_train,n_validation,accuracy,balanced_accuracy,auc,macro_f1
raw_qc_pass,cue_locked,VisualCogA_Task-1,30,csp_e2_shrink0.1_l2_1,csp,1.0,2,0.1,0.4356264003581303,VisualCogB_Task-1,189,98,0.40816326530612246,0.41095317725752506,0.43854515050167225,0.40791666666666665
raw_qc_pass,cue_locked,VisualCogA_Task-1,30,csp_e2_shrink0.1_l2_1,csp,1.0,2,0.1,0.4356264003581303,VisualCogB_Task-2,194,93,0.4731182795698925,0.47132284921369105,0.42738205365402404,0.457047539616347
raw_qc_pass,cue_locked,VisualCogA_Task-1,31,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.4225510102784232,VisualCogA_Task-2,191,96,0.3958333333333333,0.41534391534391535,0.43606701940035275,0.38920579201404126
raw_qc_pass,cue_locked,VisualCogA_Task-1,31,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.4225510102784232,VisualCogB_Task-1,189,98,0.3979591836734694,0.4013377926421404,0.4389632107023411,0.39739447628973423
raw_qc_pass,cue_locked,VisualCogA_Task-1,31,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.4225510102784232,VisualCogB_Task-2,194,93,0.45161290322580644,0.4509713228492137,0.42506938020351526,0.44932079414838033
raw_qc_pass,cue_locked,VisualCogA_Task-2,0,baseline_logistic_l2_1,baseline_13,1.0,0,0.0,0.4771258366694691,VisualCogA_Task-1,191,100,0.46,0.46457326892109496,0.48953301127214166,0.45978391356542614
raw_qc_pass,cue_locked,VisualCogA_Task-2,0,baseline_logistic_l2_1,baseline_13,1.0,0,0.0,0.4771258366694691,VisualCogB_Task-1,193,98,0.4897959183673469,0.4816053511705686,0.5029264214046822,0.4758237056054771
raw_qc_pass,cue_locked,VisualCogA_Task-2,0,baseline_logistic_l2_1,baseline_13,1.0,0,0.0,0.4771258366694691,VisualCogB_Task-2,198,93,0.4838709677419355,0.48519888991674376,0.5120259019426457,0.47654784240150094
raw_qc_pass,cue_locked,VisualCogA_Task-2,1,logistic_baseline_13_l2_0.1,baseline_13,0.1,0,0.0,0.48417641591400457,VisualCogA_Task-1,191,100,0.47,0.47383252818035426,0.4887278582930757,0.46994699469946993
raw_qc_pass,cue_locked,VisualCogA_Task-2,1,logistic_baseline_13_l2_0.1,baseline_13,0.1,0,0.0,0.48417641591400457,VisualCogB_Task-1,193,98,0.47959183673469385,0.47198996655518394,0.49958193979933113,0.4671073675231901
