sample,stage,name,representation,l2,edge_components,shrinkage,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
q1_quality_matched,target_locked,baseline_logistic_l2_1,baseline_13,1.0,0,0.0,0.5135542168674698,0.5104496858316758,0.03227310342223226,0.5403063844841184,0.5003150847317189,4
q1_quality_matched,target_locked,csp_e1_shrink0.01_l2_0.1,csp,0.1,1,0.01,0.5108838130298974,0.5150905142699596,0.031665156797737584,0.5127720887204135,0.5004355714198543,4
q1_quality_matched,target_locked,csp_e1_shrink0.01_l2_1,csp,1.0,1,0.01,0.5140088130298974,0.5186619428413882,0.03588749544092856,0.512597945147772,0.5040423653079781,4
q1_quality_matched,target_locked,csp_e1_shrink0.01_l2_10,csp,10.0,1,0.01,0.5122754908522981,0.5241325047164916,0.028003150199403515,0.5120823040347949,0.5006632206383222,4
q1_quality_matched,target_locked,csp_e1_shrink0.1_l2_0.1,csp,0.1,1,0.1,0.5033550870147255,0.5074691250295139,0.04525463913697989,0.5271353635851846,0.4923754385680131,4
q1_quality_matched,target_locked,csp_e1_shrink0.1_l2_1,csp,1.0,1,0.1,0.501737505577867,0.5062389662993552,0.05377671636102122,0.5261755506222227,0.4918656828245144,4
q1_quality_matched,target_locked,csp_e1_shrink0.1_l2_10,csp,10.0,1,0.1,0.5031291834002678,0.5140221065824955,0.048870091962988985,0.5241273367536399,0.49411079845744094,4
q1_quality_matched,target_locked,csp_e2_shrink0.01_l2_0.1,csp,0.1,2,0.01,0.511225457385096,0.5128229304148584,0.06187950158841124,0.5283736968557122,0.4882557513249779,4
q1_quality_matched,target_locked,csp_e2_shrink0.01_l2_1,csp,1.0,2,0.01,0.5159680388219545,0.5183455784984821,0.0607801747773276,0.5258862009633618,0.4922004702999736,4
q1_quality_matched,target_locked,csp_e2_shrink0.01_l2_10,csp,10.0,2,0.01,0.5094921352074966,0.514790130983874,0.04564339642575594,0.5237015107616747,0.49011912525235657,4
q1_quality_matched,target_locked,csp_e2_shrink0.1_l2_0.1,csp,0.1,2,0.1,0.5094921352074966,0.5116870778134885,0.05056284262802918,0.5282425798604139,0.48825635573802095,4
q1_quality_matched,target_locked,csp_e2_shrink0.1_l2_1,csp,1.0,2,0.1,0.501737505577867,0.504671545219739,0.057135962965225315,0.5264633451157206,0.48242905193686797,4
q1_quality_matched,target_locked,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.49722082775546633,0.5022214909152339,0.06713776402678907,0.5213803641552189,0.47797562923652914,4
q1_quality_matched,target_locked,logistic_baseline_13_l2_0.1,baseline_13,0.1,0,0.0,0.5210829428826417,0.5187534879726872,0.05032880603753194,0.5410693590662101,0.5093194854147398,4
q1_quality_matched,target_locked,logistic_baseline_13_l2_10,baseline_13,10.0,0,0.0,0.5209727800089246,0.5185876110512799,0.05856820336562444,0.5311100938849487,0.5061937625689563,4
q1_quality_matched,target_locked,logistic_baseline_13_l2_100,baseline_13,100.0,0,0.0,0.5208598282016956,0.5204504443041322,0.0632241281345674,0.5203276912313234,0.5009104972770365,4
q1_quality_matched,target_locked,logistic_erp_100ms_l2_0.1,erp_100ms,0.1,0,0.0,0.520710620258813,0.519516503670082,0.058036803074636455,0.5593883846516506,0.5132388526745888,4
q1_quality_matched,target_locked,logistic_erp_100ms_l2_1,erp_100ms,1.0,0,0.0,0.5143448795180723,0.5149364630956549,0.04731247252610366,0.5385352435385686,0.5084272364178775,4
q1_quality_matched,target_locked,logistic_erp_100ms_l2_10,erp_100ms,10.0,0,0.0,0.5124930276662204,0.5165271868396929,0.0609148002235573,0.5357083255896016,0.5110458414134884,4
q1_quality_matched,target_locked,logistic_erp_100ms_l2_100,erp_100ms,100.0,0,0.0,0.49859577197679605,0.5046982873470834,0.09609683595032517,0.5451349792745728,0.48690680297184297,4
q1_quality_matched,target_locked,logistic_erp_50ms_l2_0.1,erp_50ms,0.1,0,0.0,0.5108754462293619,0.5104408371891307,0.050466807829761325,0.5007886804989119,0.5079968885272407,4
q1_quality_matched,target_locked,logistic_erp_50ms_l2_1,erp_50ms,1.0,0,0.0,0.5123856537260152,0.5110579916498511,0.030636793076594095,0.5135316761147536,0.5085224581702938,4
q1_quality_matched,target_locked,logistic_erp_50ms_l2_10,erp_50ms,10.0,0,0.0,0.5061300758589915,0.5074836486537251,0.05963184807842077,0.5217968662452985,0.5035306303069503,4
q1_quality_matched,target_locked,logistic_erp_50ms_l2_100,erp_50ms,100.0,0,0.0,0.49998744979919674,0.5049275311316894,0.1098172218692676,0.5341751817088723,0.4948279358369605,4
q1_quality_matched,target_locked,logistic_spatial_100ms_l2_0.1,spatial_100ms,0.1,0,0.0,0.520710620258813,0.519516503670082,0.058036803074636455,0.5593883846516506,0.5132388526745888,4
q1_quality_matched,target_locked,logistic_spatial_100ms_l2_1,spatial_100ms,1.0,0,0.0,0.5143448795180723,0.5149364630956549,0.04731247252610366,0.5385352435385686,0.5084272364178775,4
q1_quality_matched,target_locked,logistic_spatial_100ms_l2_10,spatial_100ms,10.0,0,0.0,0.5124930276662204,0.5165271868396929,0.0609148002235573,0.5357083255896016,0.5110458414134884,4
q1_quality_matched,target_locked,logistic_spatial_100ms_l2_100,spatial_100ms,100.0,0,0.0,0.49859577197679605,0.5046982873470834,0.09609683595032517,0.5451349792745728,0.48690680297184297,4
q1_quality_matched,target_locked,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.5201486501561803,0.5205756991592264,0.06985756541120278,0.5354804334076538,0.5184764511503925,4
q1_quality_matched,target_locked,logistic_wave64_l2_1,wave64,1.0,0,0.0,0.5170180722891566,0.5199669342970827,0.038701335607443724,0.5268604140577853,0.5166093257950259,4
q1_quality_matched,target_locked,logistic_wave64_l2_10,wave64,10.0,0,0.0,0.5059069611780456,0.5064321735906221,0.03893731154259453,0.5192157762321277,0.5041487769226447,4
q1_quality_matched,target_locked,logistic_wave64_l2_100,wave64,100.0,0,0.0,0.5045097054886212,0.5080185523281637,0.07784621699820855,0.5175156309684055,0.5018950305776592,4
raw_qc_pass,cue_locked,baseline_logistic_l2_1,baseline_13,1.0,0,0.0,0.4672803516567917,0.4601094303048512,0.03289180246265426,0.48341780819424973,0.44900202825364266,4
raw_qc_pass,cue_locked,csp_e1_shrink0.01_l2_0.1,csp,0.1,1,0.01,0.48556904213298224,0.481217281835922,0.050222277014423986,0.460083933950724,0.4448605779100132,4
raw_qc_pass,cue_locked,csp_e1_shrink0.01_l2_1,csp,1.0,1,0.01,0.48296487546631556,0.47890246702110717,0.047414501775535654,0.46376982981785636,0.44289231057203626,4
raw_qc_pass,cue_locked,csp_e1_shrink0.01_l2_10,csp,10.0,1,0.01,0.48301589587447885,0.47916126619294985,0.04118459920199645,0.46941552896687033,0.4433832202617311,4
raw_qc_pass,cue_locked,csp_e1_shrink0.1_l2_0.1,csp,0.1,1,0.1,0.4624003593372833,0.45563930878454467,0.04888248619248457,0.45638722929233255,0.43689119738724763,4
raw_qc_pass,cue_locked,csp_e1_shrink0.1_l2_1,csp,1.0,1,0.1,0.4624003593372833,0.45563930878454467,0.04888248619248457,0.45638722929233255,0.43689119738724763,4
raw_qc_pass,cue_locked,csp_e1_shrink0.1_l2_10,csp,10.0,1,0.1,0.4624003593372833,0.4556971256208074,0.04882745271479164,0.45638722929233255,0.43605787142880664,4
raw_qc_pass,cue_locked,csp_e2_shrink0.01_l2_0.1,csp,0.1,2,0.01,0.47673812266842225,0.47386148366143743,0.05708228074360991,0.46513536528568905,0.4650720710580514,4
