记录,条件,时间_ms,电极,实测,共享模型,逐电极增益,逐电极曲线拟合
VisualCogB_Task-2,left,351.5625,F4,-16.41301263010302,-1.7517131718204197,-2.2025668442247226,-2.385126473489324
VisualCogB_Task-2,left,359.375,F3,-30.858820883595214,1.074614367156311,1.0133635544234607,1.1394628949906394
VisualCogB_Task-2,left,359.375,Fz,3.896780579725968,-1.453119987693018,-1.245863319304825,-0.6309124705162509
VisualCogB_Task-2,left,359.375,F4,-18.44666830590153,-1.6757138241276248,-2.107008189137079,-2.2957528389798423
VisualCogB_Task-2,left,367.1875,F3,-31.643771049249573,1.4214404774572316,1.340425750286382,1.4706624280413565
VisualCogB_Task-2,left,367.1875,Fz,3.2167882817008286,-1.18804665516614,-1.0185986378246537,-0.3777765065000621
VisualCogB_Task-2,left,367.1875,F4,-19.68657242106477,-1.525376083437754,-1.9179790179662426,-2.1132908902340155
VisualCogB_Task-2,left,375.0,F3,-32.15510536167968,1.8488201904066042,1.7434512349415419,1.8783135033627119
VisualCogB_Task-2,left,375.0,Fz,3.3770209157313427,-0.8362288067200598,-0.7169621604484507,-0.04777091147565699
VisualCogB_Task-2,left,375.0,F4,-20.215544596545154,-1.3123336982968201,-1.6501070778128424,-1.8523711978260233
VisualCogB_Task-2,left,382.8125,F3,-33.036175568200974,2.353555748447504,2.219424437402746,2.359352576704501
VisualCogB_Task-2,left,382.8125,Fz,3.688099012365116,-0.398694853704022,-0.3418356858280908,0.35793757522943004
VisualCogB_Task-2,left,382.8125,F4,-20.72614416320751,-1.03517960235118,-1.301623296422137,-1.5111385397374815
VisualCogB_Task-2,left,390.625,F3,-35.09534596578608,2.9210495451812353,2.754579667217692,2.900094915631535
VisualCogB_Task-2,left,390.625,Fz,3.0757359731487854,0.1109725493345941,0.09513555107304893,0.8279261116703199
VisualCogB_Task-2,left,390.625,F4,-22.116705663594246,-0.7029443967532654,-0.8838823008773329,-1.101006478558422
VisualCogB_Task-2,left,398.4375,F3,-38.07524500124506,3.5516689510107415,3.3492633434341195,3.5008047208126682
VisualCogB_Task-2,left,398.4375,Fz,1.331823897645522,0.695467751168696,0.5962615292073727,1.3642216252934378
VisualCogB_Task-2,left,398.4375,F4,-24.310412424375485,-0.3115816300635945,-0.39179635976185445,-0.6168425497236077
