sample,stage,outer_held_out_record,candidate_order,candidate,model,feature_set,scaler,selector_k,parameters,inner_mean_balanced_accuracy,inner_held_out_record,n_inner_train,n_inner_validation,accuracy,balanced_accuracy,auc,macro_f1
raw_qc_pass,cue_locked,VisualCogA_Task-1,16,logistic_static_safe_22_l2_0.1,logistic,static_safe_22,standard,,"{""l2"": 0.1}",0.47348986282843825,VisualCogB_Task-2,194,93,0.46236559139784944,0.4641535615171138,0.44634597594819614,0.448005698005698
raw_qc_pass,cue_locked,VisualCogA_Task-1,17,logistic_static_safe_22_l2_1,logistic,static_safe_22,standard,,"{""l2"": 1.0}",0.46947998952315945,VisualCogA_Task-2,191,96,0.4895833333333333,0.4933862433862434,0.4426807760141093,0.4890843923101988
raw_qc_pass,cue_locked,VisualCogA_Task-1,17,logistic_static_safe_22_l2_1,logistic,static_safe_22,standard,,"{""l2"": 1.0}",0.46947998952315945,VisualCogB_Task-1,189,98,0.45918367346938777,0.46153846153846156,0.524665551839465,0.45912735603457255
raw_qc_pass,cue_locked,VisualCogA_Task-1,17,logistic_static_safe_22_l2_1,logistic,static_safe_22,standard,,"{""l2"": 1.0}",0.46947998952315945,VisualCogB_Task-2,194,93,0.45161290322580644,0.45351526364477335,0.44033302497687327,0.4348862147027285
raw_qc_pass,cue_locked,VisualCogA_Task-1,18,logistic_static_safe_22_l2_10,logistic,static_safe_22,standard,,"{""l2"": 10.0}",0.44764648218240577,VisualCogA_Task-2,191,96,0.4166666666666667,0.41534391534391535,0.4113756613756614,0.41437908496732023
raw_qc_pass,cue_locked,VisualCogA_Task-1,18,logistic_static_safe_22_l2_10,logistic,static_safe_22,standard,,"{""l2"": 10.0}",0.44764648218240577,VisualCogB_Task-1,189,98,0.4489795918367347,0.46321070234113715,0.5020903010033445,0.42503259452411996
raw_qc_pass,cue_locked,VisualCogA_Task-1,18,logistic_static_safe_22_l2_10,logistic,static_safe_22,standard,,"{""l2"": 10.0}",0.44764648218240577,VisualCogB_Task-2,194,93,0.46236559139784944,0.4643848288621647,0.42368177613321,0.44377990430622005
raw_qc_pass,cue_locked,VisualCogA_Task-1,19,logistic_static_safe_22_l2_100,logistic,static_safe_22,standard,,"{""l2"": 100.0}",0.46058349149622657,VisualCogA_Task-2,191,96,0.40625,0.414021164021164,0.3999118165784832,0.4061855670103093
raw_qc_pass,cue_locked,VisualCogA_Task-1,19,logistic_static_safe_22_l2_100,logistic,static_safe_22,standard,,"{""l2"": 100.0}",0.46058349149622657,VisualCogB_Task-1,189,98,0.46938775510204084,0.49247491638795987,0.5096153846153846,0.39678030303030304
raw_qc_pass,cue_locked,VisualCogA_Task-1,19,logistic_static_safe_22_l2_100,logistic,static_safe_22,standard,,"{""l2"": 100.0}",0.46058349149622657,VisualCogB_Task-2,194,93,0.4731182795698925,0.47525439407955594,0.4093432007400555,0.4526126126126126
raw_qc_pass,cue_locked,VisualCogA_Task-1,20,shrinkage_lda_baseline_13,lda,baseline_13,standard,,{},0.4561363092430006,VisualCogA_Task-2,191,96,0.4479166666666667,0.4272486772486772,0.414021164021164,0.4201709401709402
raw_qc_pass,cue_locked,VisualCogA_Task-1,20,shrinkage_lda_baseline_13,lda,baseline_13,standard,,{},0.4561363092430006,VisualCogB_Task-1,189,98,0.46938775510204084,0.4661371237458194,0.5037625418060201,0.46582809224318655
raw_qc_pass,cue_locked,VisualCogA_Task-1,20,shrinkage_lda_baseline_13,lda,baseline_13,standard,,{},0.4561363092430006,VisualCogB_Task-2,194,93,0.4731182795698925,0.4750231267345051,0.49306197964847365,0.457047539616347
raw_qc_pass,cue_locked,VisualCogA_Task-1,21,shrinkage_lda_gamma_extended_16,lda,gamma_extended_16,standard,,{},0.4591527620744395,VisualCogA_Task-2,191,96,0.4166666666666667,0.4074074074074074,0.3950617283950617,0.4074074074074074
raw_qc_pass,cue_locked,VisualCogA_Task-1,21,shrinkage_lda_gamma_extended_16,lda,gamma_extended_16,standard,,{},0.4591527620744395,VisualCogB_Task-1,189,98,0.47959183673469385,0.4945652173913043,0.4640468227424749,0.45454545454545453
raw_qc_pass,cue_locked,VisualCogA_Task-1,21,shrinkage_lda_gamma_extended_16,lda,gamma_extended_16,standard,,{},0.4591527620744395,VisualCogB_Task-2,194,93,0.4731182795698925,0.4754856614246068,0.46854764107308045,0.4475694023518002
raw_qc_pass,cue_locked,VisualCogA_Task-1,22,shrinkage_lda_erp_shape_10,lda,erp_shape_10,standard,,{},0.4658706533128365,VisualCogA_Task-2,191,96,0.4895833333333333,0.503968253968254,0.5462962962962963,0.4881949733434882
raw_qc_pass,cue_locked,VisualCogA_Task-1,22,shrinkage_lda_erp_shape_10,lda,erp_shape_10,standard,,{},0.4658706533128365,VisualCogB_Task-1,189,98,0.46938775510204084,0.4736622073578595,0.5438963210702341,0.46850229453483516
raw_qc_pass,cue_locked,VisualCogA_Task-1,22,shrinkage_lda_erp_shape_10,lda,erp_shape_10,standard,,{},0.4658706533128365,VisualCogB_Task-2,194,93,0.41935483870967744,0.419981498612396,0.41258094357076786,0.4176716141001855
raw_qc_pass,cue_locked,VisualCogA_Task-1,23,shrinkage_lda_static_no_gamma_19,lda,static_no_gamma_19,standard,,{},0.43787109921861694,VisualCogA_Task-2,191,96,0.4270833333333333,0.40608465608465605,0.423721340388007,0.3982905982905983
raw_qc_pass,cue_locked,VisualCogA_Task-1,23,shrinkage_lda_static_no_gamma_19,lda,static_no_gamma_19,standard,,{},0.43787109921861694,VisualCogB_Task-1,189,98,0.46938775510204084,0.46488294314381273,0.515886287625418,0.4638047138047138
raw_qc_pass,cue_locked,VisualCogA_Task-1,23,shrinkage_lda_static_no_gamma_19,lda,static_no_gamma_19,standard,,{},0.43787109921861694,VisualCogB_Task-2,194,93,0.44086021505376344,0.4426456984273821,0.42969472710453277,0.42592592592592593
raw_qc_pass,cue_locked,VisualCogA_Task-1,24,shrinkage_lda_static_safe_22,lda,static_safe_22,standard,,{},0.44092426115244493,VisualCogA_Task-2,191,96,0.40625,0.39814814814814814,0.4096119929453263,0.3983507421660253
raw_qc_pass,cue_locked,VisualCogA_Task-1,24,shrinkage_lda_static_safe_22,lda,static_safe_22,standard,,{},0.44092426115244493,VisualCogB_Task-1,189,98,0.4387755102040816,0.4498327759197325,0.5,0.42531186693677364
raw_qc_pass,cue_locked,VisualCogA_Task-1,24,shrinkage_lda_static_safe_22,lda,static_safe_22,standard,,{},0.44092426115244493,VisualCogB_Task-2,194,93,0.4731182795698925,0.47479185938945423,0.4185938945420906,0.46090145510469654
raw_qc_pass,cue_locked,VisualCogA_Task-1,25,qda_baseline_13_reg_0.1,qda,baseline_13,standard,,"{""reg_param"": 0.1}",0.5244875440681793,VisualCogA_Task-2,191,96,0.5520833333333334,0.5092592592592593,0.4554673721340388,0.4635477582846004
raw_qc_pass,cue_locked,VisualCogA_Task-1,25,qda_baseline_13_reg_0.1,qda,baseline_13,standard,,"{""reg_param"": 0.1}",0.5244875440681793,VisualCogB_Task-1,189,98,0.5918367346938775,0.5877926421404682,0.5735785953177257,0.5875420875420876
raw_qc_pass,cue_locked,VisualCogA_Task-1,25,qda_baseline_13_reg_0.1,qda,baseline_13,standard,,"{""reg_param"": 0.1}",0.5244875440681793,VisualCogB_Task-2,194,93,0.4731182795698925,0.4764107308048104,0.47409805735430155,0.4205975842339479
raw_qc_pass,cue_locked,VisualCogA_Task-1,26,qda_baseline_13_reg_0.5,qda,baseline_13,standard,,"{""reg_param"": 0.5}",0.48269667827176305,VisualCogA_Task-2,191,96,0.5208333333333334,0.48148148148148145,0.4365079365079365,0.4424242424242424
raw_qc_pass,cue_locked,VisualCogA_Task-1,26,qda_baseline_13_reg_0.5,qda,baseline_13,standard,,"{""reg_param"": 0.5}",0.48269667827176305,VisualCogB_Task-1,189,98,0.5204081632653061,0.5117056856187291,0.5338628762541806,0.50552871712292
raw_qc_pass,cue_locked,VisualCogA_Task-1,26,qda_baseline_13_reg_0.5,qda,baseline_13,standard,,"{""reg_param"": 0.5}",0.48269667827176305,VisualCogB_Task-2,194,93,0.45161290322580644,0.45490286771507865,0.5203515263644773,0.3969485060394151
raw_qc_pass,cue_locked,VisualCogA_Task-1,27,qda_baseline_13_reg_0.9,qda,baseline_13,standard,,"{""reg_param"": 0.9}",0.4890126519019519,VisualCogA_Task-2,191,96,0.4895833333333333,0.4669312169312169,0.4303350970017637,0.45850120870265915
raw_qc_pass,cue_locked,VisualCogA_Task-1,27,qda_baseline_13_reg_0.9,qda,baseline_13,standard,,"{""reg_param"": 0.9}",0.4890126519019519,VisualCogB_Task-1,189,98,0.5,0.49247491638795987,0.49623745819397996,0.4880051178163983
raw_qc_pass,cue_locked,VisualCogA_Task-1,27,qda_baseline_13_reg_0.9,qda,baseline_13,standard,,"{""reg_param"": 0.9}",0.4890126519019519,VisualCogB_Task-2,194,93,0.5053763440860215,0.5076318223866789,0.5249768732654949,0.48383204633204635
raw_qc_pass,cue_locked,VisualCogA_Task-1,28,qda_erp_shape_10_reg_0.1,qda,erp_shape_10,standard,,"{""reg_param"": 0.1}",0.4955669993829106,VisualCogA_Task-2,191,96,0.5104166666666666,0.49603174603174605,0.47707231040564374,0.4945670437997087
raw_qc_pass,cue_locked,VisualCogA_Task-1,28,qda_erp_shape_10_reg_0.1,qda,erp_shape_10,standard,,"{""reg_param"": 0.1}",0.4955669993829106,VisualCogB_Task-1,189,98,0.5306122448979592,0.5137959866220736,0.5217391304347826,0.4820772058823529
raw_qc_pass,cue_locked,VisualCogA_Task-1,28,qda_erp_shape_10_reg_0.1,qda,erp_shape_10,standard,,"{""reg_param"": 0.1}",0.4955669993829106,VisualCogB_Task-2,194,93,0.4731182795698925,0.4768732654949121,0.396854764107308,0.4023606557377049
raw_qc_pass,cue_locked,VisualCogA_Task-1,29,qda_erp_shape_10_reg_0.5,qda,erp_shape_10,standard,,"{""reg_param"": 0.5}",0.4786615792243298,VisualCogA_Task-2,191,96,0.4791666666666667,0.4629629629629629,0.47134038800705463,0.4601889338731444
raw_qc_pass,cue_locked,VisualCogA_Task-1,29,qda_erp_shape_10_reg_0.5,qda,erp_shape_10,standard,,"{""reg_param"": 0.5}",0.4786615792243298,VisualCogB_Task-1,189,98,0.5510204081632653,0.5405518394648829,0.4866220735785953,0.5315080399826162
raw_qc_pass,cue_locked,VisualCogA_Task-1,29,qda_erp_shape_10_reg_0.5,qda,erp_shape_10,standard,,"{""reg_param"": 0.5}",0.4786615792243298,VisualCogB_Task-2,194,93,0.43010752688172044,0.4324699352451434,0.39037927844588344,0.40247302703357984
raw_qc_pass,cue_locked,VisualCogA_Task-1,30,qda_erp_shape_10_reg_0.9,qda,erp_shape_10,standard,,"{""reg_param"": 0.9}",0.45545871255091114,VisualCogA_Task-2,191,96,0.53125,0.5251322751322751,0.48192239858906527,0.5250137438152831
raw_qc_pass,cue_locked,VisualCogA_Task-1,30,qda_erp_shape_10_reg_0.9,qda,erp_shape_10,standard,,"{""reg_param"": 0.9}",0.45545871255091114,VisualCogB_Task-1,189,98,0.4489795918367347,0.45317725752508364,0.4707357859531773,0.44806007509386736
raw_qc_pass,cue_locked,VisualCogA_Task-1,30,qda_erp_shape_10_reg_0.9,qda,erp_shape_10,standard,,"{""reg_param"": 0.9}",0.45545871255091114,VisualCogB_Task-2,194,93,0.3870967741935484,0.38806660499537465,0.37511563367252543,0.382527664531159
raw_qc_pass,cue_locked,VisualCogA_Task-1,31,qda_static_no_gamma_19_reg_0.1,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.1}",0.5374614193608951,VisualCogA_Task-2,191,96,0.5833333333333334,0.5423280423280423,0.43474426807760147,0.5059186824498199
raw_qc_pass,cue_locked,VisualCogA_Task-1,31,qda_static_no_gamma_19_reg_0.1,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.1}",0.5374614193608951,VisualCogB_Task-1,189,98,0.5816326530612245,0.5719063545150501,0.5714882943143813,0.5652926539002489
raw_qc_pass,cue_locked,VisualCogA_Task-1,31,qda_static_no_gamma_19_reg_0.1,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.1}",0.5374614193608951,VisualCogB_Task-2,194,93,0.4946236559139785,0.498149861239593,0.4662349676225717,0.4359272164150213
raw_qc_pass,cue_locked,VisualCogA_Task-1,32,qda_static_no_gamma_19_reg_0.5,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.5}",0.4811329018852917,VisualCogA_Task-2,191,96,0.5208333333333334,0.47883597883597884,0.4329805996472663,0.43180648481729283
raw_qc_pass,cue_locked,VisualCogA_Task-1,32,qda_static_no_gamma_19_reg_0.5,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.5}",0.4811329018852917,VisualCogB_Task-1,189,98,0.5306122448979592,0.520066889632107,0.5355351170568562,0.510212950890917
raw_qc_pass,cue_locked,VisualCogA_Task-1,32,qda_static_no_gamma_19_reg_0.5,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.5}",0.4811329018852917,VisualCogB_Task-2,194,93,0.44086021505376344,0.4444958371877891,0.4329324699352451,0.3709677419354839
raw_qc_pass,cue_locked,VisualCogA_Task-1,33,qda_static_no_gamma_19_reg_0.9,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.9}",0.4880475790127347,VisualCogA_Task-2,191,96,0.5104166666666666,0.4828042328042328,0.41358024691358025,0.4683633792859668
raw_qc_pass,cue_locked,VisualCogA_Task-1,33,qda_static_no_gamma_19_reg_0.9,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.9}",0.4880475790127347,VisualCogB_Task-1,189,98,0.5204081632653061,0.5167224080267558,0.48871237458193983,0.5163288879554762
