dataset,condition,channel,window,window_start_ms,window_end_ms,n_clipped_only,n_sqi_retained,valid_erp_rms,clean_erp_rms,clean_vs_clipped_only_rmse,clean_vs_clipped_only_nrmse,clean_vs_equal_n_random_mean_rmse,clean_outside_stratified_random_pointwise_95_pct,random_band_mean_width,bootstrap_repeats,bootstrap_blocks,interpretation
VisualCogA_Task-1,right,F4,cue_full_0_800ms,0.0,800.0,41,25,9.653347161024962,6.866351382331046,4.805589751343557,0.49781590480304594,5.512453546243913,0.0,39.398999334683694,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,F3,target_candidate_250_500ms,2450.0,2700.0,41,25,9.46377472568483,15.365918677140296,6.308453897040923,0.6665896093151586,2.8356277390030455,0.0,31.05550048792065,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,Fz,target_candidate_250_500ms,2450.0,2700.0,41,25,5.6684073930058165,6.520733639683953,1.4695599645714723,0.2592544717912734,1.52501627761428,0.0625,5.706963594030822,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,F4,target_candidate_250_500ms,2450.0,2700.0,41,25,8.586817078773377,4.557555628971199,4.652999835632568,0.541877134792447,7.075234210223323,0.0,35.878090261667964,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,F3,cue_onset_0_200ms,0.0,200.0,48,45,7.400158813993672,5.261123153142522,2.3751865227494213,0.32096426339634127,2.9854429026093796,0.0,15.903083134292123,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,Fz,cue_onset_0_200ms,0.0,200.0,48,45,3.045958176272566,2.7735297176908067,0.47641500273701465,0.15640891147100994,0.8717500707206043,0.0,5.906900420333615,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,F4,cue_onset_0_200ms,0.0,200.0,48,45,11.764025508496902,9.522840038480757,2.276864679230833,0.1935446907681646,2.3539732868034418,0.0,10.81689632678261,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,F3,cue_offset_200_800ms,200.0,800.0,48,45,66.94403197542727,68.17384024442593,1.6039783981945808,0.02395999091873258,1.3171099913827775,0.0,30.952361365630257,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,Fz,cue_offset_200_800ms,200.0,800.0,48,45,66.70397772348261,66.6547949715902,0.7376733426040119,0.011058910844297666,1.1450634290485975,0.0,14.99903631721224,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,F4,cue_offset_200_800ms,200.0,800.0,48,45,89.66319508985742,88.16548965072619,2.260757424821853,0.025213884276109037,2.7445111966825606,0.0,26.787638847858872,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,F3,cue_full_0_800ms,0.0,800.0,48,45,58.00063476645129,59.003903676225455,1.8295863570617192,0.03154424713503287,1.8832747882940835,0.0,27.153514433447814,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,Fz,cue_full_0_800ms,0.0,800.0,48,45,57.694088976379795,57.648108489816956,0.6812447457752383,0.011807877684907075,1.0826018756732825,0.0,12.703934051980744,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,F4,cue_full_0_800ms,0.0,800.0,48,45,77.74983647077111,76.37990262493814,2.2648341422483456,0.02912976084650385,2.6513620930300097,0.0,22.756189279431855,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,F3,target_candidate_250_500ms,2450.0,2700.0,48,45,28.784992934670235,27.395919656407056,1.5063170956837877,0.05232994495091559,2.30945860002772,0.0,14.865563365072012,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,left,Fz,target_candidate_250_500ms,2450.0,2700.0,48,45,28.937958585729767,27.600258884381162,1.3751384428312872,0.04752022983091184,1.2243431334470531,0.0,9.305331042408943,1000,5,descriptive_pointwise_interval_not_familywise_test
