preprocessing,target_stimulus_candidate,target_onset_candidate_s,target_duration_s_assumption,match_evidence_scenario,heldout_record,cue_side,model,evaluation_window,window_start_s,window_stop_s,rmse_raw_units,nrmse_by_heldout_sd,correlation,n_train_records,n_train_record_cue_means,n_test_trials_in_cue_group,fit_parameters_train_only,response_channel_used
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_plus_memory,candidate_target_600ms,2.0,2.6,148.39670203370622,3.0442720686394713,0.7418038310069067,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_plus_memory,cue_stage,0.0,0.8,71.91995065735553,12.031412028444388,-0.37558220414477744,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_plus_memory,late_stage,0.8,2.8,120.44061953008237,3.367368944765006,0.014028906791429962,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_plus_memory,candidate_target_600ms,2.0,2.6,145.5613558723828,3.843894395022136,0.49906072216052333,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_plus_memory_control,cue_stage,0.0,0.8,102.33298939083599,3.854200686008402,-0.06856481146015056,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_plus_memory_control,late_stage,0.8,2.8,134.5888317835521,2.898401377130251,0.5122591367640095,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_plus_memory_control,candidate_target_600ms,2.0,2.6,151.7021573451717,3.112081562657369,0.7596579296612208,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_plus_memory_control,cue_stage,0.0,0.8,74.87968026429753,12.526542045476221,-0.3980651971299202,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_plus_memory_control,late_stage,0.8,2.8,120.20148506037746,3.3606830443599023,0.009389299536251682,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_plus_memory_control,candidate_target_600ms,2.0,2.6,148.8248261503735,3.9300741027797903,0.5304655563249552,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Training_mean_template,cue_stage,0.0,0.8,49.257960094280094,0.9810764386232242,0.794194186385945,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Training_mean_template,late_stage,0.8,2.8,62.899753492085416,1.7944778075906822,0.1473251682388706,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Training_mean_template,candidate_target_600ms,2.0,2.6,67.0947544804307,2.9655845515905295,-0.2928105149771848,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Training_mean_template,cue_stage,0.0,0.8,87.82290746095246,1.2447581919835802,0.7458025461087507,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Training_mean_template,late_stage,0.8,2.8,194.89514998948022,4.505420300193029,-0.5400529536959167,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Training_mean_template,candidate_target_600ms,2.0,2.6,228.782923459446,6.993403983879156,-0.7921873847337788,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_visual_only,cue_stage,0.0,0.8,63.386266406441344,1.2624715352529512,0.11100492849186618,3,6,49,True,False
